id_number,B201868227
categorize,Collision Processes
collision_data_categorize,Cross Section
collision_process,Charge Transfer
sub_process,Single
collision_type,Heavy Particle Impact
Theory_Experiment_Recommendation,Experimental Data
reaction_formula,H(2s1) + Kr -> H1- + Kr1+
reference_number,2018000259
author,J Hill### J Geddes and H B Gilbody
title_of_record,H- formation in electron capture by 4-25 keV metastable hydrogen atoms in the inert gases
journal_name,J. Phys. B: At. Mol. Opt. Phys.
volume_and_issue_No,12
page_number,L653
date_of_publication,1979
