N6+ + H(n=2) --> N5+(n=10,l=2) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,7.450000e-01
7.000000e+01,8.950000e-01
9.800000e+01,1.290000e+00
1.400000e+02,1.480000e+00
3.500000e+02,5.650000e-01
6.300000e+02,1.830000e-01
1.260000e+03,4.270000e-02
1.400000e+03,3.210000e-02
2.100000e+03,9.280000e-03
3.500000e+03,8.070000e-04
7.000000e+03,4.190000e-05
