N6+ + H(n=2) --> N5+(n=6,l=2) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,1.430000e+00
7.000000e+01,4.420000e+00
9.800000e+01,4.580000e+00
1.400000e+02,3.580000e+00
3.500000e+02,7.130000e-01
6.300000e+02,1.650000e-01
1.260000e+03,3.590000e-02
1.400000e+03,2.320000e-02
2.100000e+03,8.000000e-03
3.500000e+03,1.020000e-03
7.000000e+03,7.760000e-05
