N6+ + H(1s) --> N5+(n=8,l=6) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,3.560000e-04
7.000000e+01,2.480000e-03
9.800000e+01,6.700000e-03
1.400000e+02,7.660000e-03
3.500000e+02,8.090000e-02
6.300000e+02,2.000000e-01
1.260000e+03,4.230000e-02
1.400000e+03,2.860000e-02
2.100000e+03,3.290000e-03
3.500000e+03,1.470000e-04
7.000000e+03,2.880000e-07
