N6+ + H(n=2) --> N5+(n=10,l=5) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,1.990000e+00
7.000000e+01,3.980000e+00
9.800000e+01,4.900000e+00
1.400000e+02,4.450000e+00
3.500000e+02,1.720000e+00
6.300000e+02,5.330000e-01
1.260000e+03,5.230000e-02
1.400000e+03,3.270000e-02
2.100000e+03,5.260000e-03
3.500000e+03,3.890000e-04
7.000000e+03,3.020000e-06
