N6+ + H(1s) --> N5+(n=3,l=1) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,2.150000e-03
7.000000e+01,5.060000e-01
9.800000e+01,5.440000e-01
1.400000e+02,6.450000e-01
3.500000e+02,1.090000e+00
6.300000e+02,8.170000e-01
1.260000e+03,1.920000e-01
1.400000e+03,1.380000e-01
2.100000e+03,4.210000e-02
3.500000e+03,2.000000e-02
7.000000e+03,1.630000e-03
