N6+ + H(1s) --> N5+(n=4,l=1) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,5.440000e+00
7.000000e+01,5.380000e+00
9.800000e+01,4.410000e+00
1.400000e+02,3.280000e+00
3.500000e+02,1.500000e+00
6.300000e+02,6.290000e-01
1.260000e+03,1.420000e-01
1.400000e+03,9.540000e-02
2.100000e+03,4.170000e-02
3.500000e+03,1.700000e-02
7.000000e+03,9.870000e-04
