N6+ + H(1s) --> N5+(n=10,l=6) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,1.460000e-02
7.000000e+01,5.190000e-03
9.800000e+01,3.890000e-03
1.400000e+02,4.810000e-03
3.500000e+02,1.930000e-02
6.300000e+02,1.010000e-01
1.260000e+03,3.670000e-02
1.400000e+03,2.510000e-02
2.100000e+03,3.640000e-03
3.500000e+03,2.590000e-04
7.000000e+03,3.990000e-07
