N6+ + H(1s) --> N5+(n=10,l=7) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,9.940000e-03
7.000000e+01,5.390000e-03
9.800000e+01,2.700000e-03
1.400000e+02,2.690000e-03
3.500000e+02,7.980000e-03
6.300000e+02,3.650000e-02
1.260000e+03,9.790000e-03
1.400000e+03,7.360000e-03
2.100000e+03,2.040000e-03
3.500000e+03,4.500000e-05
7.000000e+03,2.450000e-08
