N6+ + H(1s) --> N5+(n=11,l=3) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,3.230000e-02
7.000000e+01,7.660000e-04
9.800000e+01,3.580000e-03
1.400000e+02,3.150000e-03
3.500000e+02,3.750000e-02
6.300000e+02,1.790000e-01
1.260000e+03,1.300000e-01
1.400000e+03,1.170000e-01
2.100000e+03,3.340000e-02
3.500000e+03,4.040000e-03
7.000000e+03,7.860000e-05
