N6+ + H(n=2) --> N5+(n=8,l=2) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,1.440000e+01
7.000000e+01,3.830000e+00
9.800000e+01,3.250000e+00
1.400000e+02,2.360000e+00
3.500000e+02,5.710000e-01
6.300000e+02,1.890000e-01
1.260000e+03,3.410000e-02
1.400000e+03,2.750000e-02
2.100000e+03,7.690000e-03
3.500000e+03,8.270000e-04
7.000000e+03,5.280000e-05
