specie,Record Number,Process,QDB Process,Theory or Experiment,data type,Projectile Element,Projectile Charge State,Target Molecule,Target Charge State,Initial Excited State B,Products,Original X Unit,Original Y Unit,Reference Number,Author(s),Title of Record,Journal Name,Volume and Issue No,Page Numbers,Date of Publication,Process Title
15N,11637, charge exchange,, E, CS, 15N,4, CO2,0,, 15N3+;CO2+, eV, cm2,2.00E+307, Greenwood### J.B.$Williams### I.D.$Smith### S.J.$Chutjian### A., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Phys. Rev. A,63,62707,2001, 15N4+ + CO2 --> 15N3++CO2+
15N,11638, charge exchange,, E, CS, 15N,4, CO2,0,, 15N2+;CO22+, eV, cm2,2.00E+307, Greenwood### J.B.$Williams### I.D.$Smith### S.J.$Chutjian### A., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Phys. Rev. A,63,62707,2001, 15N4+ + CO2 --> 15N2++CO22+
15N,11639, charge exchange,, E, CS, 15N,4, H2,0,, 15N3+;H2+, eV, cm2,2.00E+307, Greenwood### J.B.$Williams### I.D.$Smith### S.J.$Chutjian### A., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Phys. Rev. A,63,62707,2001, 15N4+ + H2 --> 15N3++H2+
15N,11640, charge exchange,, E, CS, 15N,4, H2,0,, 15N2+;H22+, eV, cm2,2.00E+307, Greenwood### J.B.$Williams### I.D.$Smith### S.J.$Chutjian### A., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Phys. Rev. A,63,62707,2001, 15N4+ + H2 --> 15N2++H22+
15N,11641, charge exchange,, E, CS, 15N,7, H2O,0,, 15N6+;H2O+, eV, cm2,2.00E+307, Greenwood### J.B.$Williams### I.D.$Smith### S.J.$Chutjian### A., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Phys. Rev. A,63,62707,2001, 15N7+ + H2O --> 15N6++H2O+
15N,11642, charge exchange,, E, CS, 15N,7, H2O,0,, 15N5+;H2O2+, eV, cm2,2.00E+307, Greenwood### J.B.$Williams### I.D.$Smith### S.J.$Chutjian### A., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Phys. Rev. A,63,62707,2001, 15N7+ + H2O --> 15N5++H2O2+
15N,11643, charge exchange,, E, CS, 15N,7, CO2,0,, 15N6+;CO2+, eV, cm2,2.00E+307, Greenwood### J.B.$Williams### I.D.$Smith### S.J.$Chutjian### A., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Phys. Rev. A,63,62707,2001, 15N7+ + CO2 --> 15N6++CO2+
15N,11644, charge exchange,, E, CS, 15N,7, CO2,0,, 15N5+;CO22+, eV, cm2,2.00E+307, Greenwood### J.B.$Williams### I.D.$Smith### S.J.$Chutjian### A., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Phys. Rev. A,63,62707,2001, 15N7+ + CO2 --> 15N5++CO22+
15N,11645, charge exchange,, E, CS, 15N,7, H2,0,, 15N6+;H2+, eV, cm2,2.00E+307, Greenwood### J.B.$Williams### I.D.$Smith### S.J.$Chutjian### A., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Phys. Rev. A,63,62707,2001, 15N7+ + H2 --> 15N6++H2+
16O,11646, charge exchange,, E, CS, 16O,5, H2O,0,, 16O4+;H2O+, eV, cm2,2.00E+307, Greenwood### J.B.$Williams### I.D.$Smith### S.J.$Chutjian### A., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Phys. Rev. A,63,62707,2001, 16O5+ + H2O --> 16O4++H2O+
16O,11647, charge exchange,, E, CS, 16O,5, H2O,0,, 16O3+;H2O2+, eV, cm2,2.00E+307, Greenwood### J.B.$Williams### I.D.$Smith### S.J.$Chutjian### A., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Phys. Rev. A,63,62707,2001, 16O5+ + H2O --> 16O3++H2O2+
16O,11648, charge exchange,, E, CS, 16O,5, CO2,0,, 16O4+;CO2+, eV, cm2,2.00E+307, Greenwood### J.B.$Williams### I.D.$Smith### S.J.$Chutjian### A., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Phys. Rev. A,63,62707,2001, 16O5+ + CO2 --> 16O4++CO2+
16O,11649, charge exchange,, E, CS, 16O,5, CO2,0,, 16O3+;CO22+, eV, cm2,2.00E+307, Greenwood### J.B.$Williams### I.D.$Smith### S.J.$Chutjian### A., Experimental investigation of the processes determining x-ray emission intensities from charge-exchange collisions, Phys. Rev. A,63,62707,2001, 16O5+ + CO2 --> 16O3++CO22+
