id_number,B201221089
categorize,Collision Processes
collision_data_categorize,Cross Section
collision_process,Ionization
sub_process,Total
collision_type,Heavy Particle Impact
Theory_Experiment_Recommendation,Experimental Data
reaction_formula,F- + Ar
reference_number,2012001250
author,M. M. Santanna### F. Zappa### A. C. F. Santos### L. F. S. Coelho### W. Wolff### A. L. F. de Barros### N. V. de C. Faria
title_of_record,Multiple ionization of Ar by F- impact: Projectile-electron-loss and direct-ionization collision channels
journal_name,Phys. Rev. A
volume_and_issue_No,74
page_number,022701
date_of_publication,2006
