id_number,B201871006
categorize,Collision Processes
collision_data_categorize,Rate Coefficient
collision_process,Dissociation
sub_process,Neutral Product Dissociation
collision_type,Heavy Particle Impact
Theory_Experiment_Recommendation,Experimental Data
reaction_formula,CH21+ + H2S -> HCS 1+ + H2 + H
reference_number,2018000376
author,N.G. Adams### D. Smith
title_of_record,Reactions of CH+n ions ith molecules at 300 K
journal_name,Chemical Physics Letters
volume_and_issue_No,54
page_number,530
date_of_publication,1978
