id_number,B201209111
categorize,Collision Processes
collision_data_categorize,Cross Section
collision_process,Charge Transfer
sub_process,Single
collision_type,Heavy Particle Impact
Theory_Experiment_Recommendation,Experimental Data
reaction_formula,O+(4S) + C2H6(v=0) -> O(3P2) + C2H6+(v=0)
reference_number,2012000537
author,T. Kusakabe### H. Nakanishi### A. Iida### K. Hosomi### H. Tawara### M. Sasao### Y. Nakai
title_of_record,Charge transfer cross sections in collisions of ground state O+(4S) ions with H2 and various carbon-containing molecules in the low-energy region
journal_name,J. Phys. B
volume_and_issue_No,34
page_number,4809
date_of_publication,2001
