id_number,B201878503
categorize,Collision Processes
collision_data_categorize,Cross Section
collision_process,Ionization
sub_process,Single
collision_type,Photon Impact
Theory_Experiment_Recommendation,Experimental Data
reaction_formula,hv + NO -> NO1+
reference_number,2018000534
author,Toshio Masuoka
title_of_record,Single- and double-photoionization cross sections of nitric oxide (NO) and ionic fragmentation of NO+ and N02+
journal_name,PHYSICAL REVIEW A
volume_and_issue_No,48
page_number,1955
date_of_publication,1993
