specie,Record Number,Process,QDB Process,Theory or Experiment,data type,Projectile Element,Projectile Charge State,Target Molecule,Target Charge State,Initial Excited State B,Products,Original X Unit,Original Y Unit,Reference Number,Author(s),Title of Record,Journal Name,Volume and Issue No,Page Numbers,Date of Publication,Process Title
Br,10770, reactive,HIR, V, RC, Br,0, HO2,0,, HBr;O2, K, cm3/s, 2000V302, Atkinson### R.$Baulch### D.L.$Cox### R.A.$Hampson###Jr.### R.F.$Kerr### J.A.$Rossi### M.J.$Troe### J., Evaluated Kinetic and Photochemical Data for Atmospheric Chemistry: Supplement VIII###Halogen Species IUPAC Subcommittee on Gas Kinetic Data Evaluation for Atmospheric Chemistry, J. Phys. Chem. Ref. Data,29, 167-266,2000, Br + HO2 --> HBr+O2
Br,10771, reactive,HIR, V, RC, Br,0, O3,0,, BrO;O2, K, cm3/s, 2000V302, Atkinson### R.$Baulch### D.L.$Cox### R.A.$Hampson###Jr.### R.F.$Kerr### J.A.$Rossi### M.J.$Troe### J., Evaluated Kinetic and Photochemical Data for Atmospheric Chemistry: Supplement VIII###Halogen Species IUPAC Subcommittee on Gas Kinetic Data Evaluation for Atmospheric Chemistry, J. Phys. Chem. Ref. Data,29, 167-266,2000, Br + O3 --> BrO+O2
Br,10772, reactive,HIR, V, RC, Br,0, OClO,0,, BrO;ClO, K, cm3/s, 2000V302, Atkinson### R.$Baulch### D.L.$Cox### R.A.$Hampson###Jr.### R.F.$Kerr### J.A.$Rossi### M.J.$Troe### J., Evaluated Kinetic and Photochemical Data for Atmospheric Chemistry: Supplement VIII###Halogen Species IUPAC Subcommittee on Gas Kinetic Data Evaluation for Atmospheric Chemistry, J. Phys. Chem. Ref. Data,29, 167-266,2000, Br + OClO --> BrO+ClO
Br,10773, reactive,HIR, V, RC, Br,0, Cl2O,0,, BrCl;ClO, K, cm3/s, 2000V302, Atkinson### R.$Baulch### D.L.$Cox### R.A.$Hampson###Jr.### R.F.$Kerr### J.A.$Rossi### M.J.$Troe### J., Evaluated Kinetic and Photochemical Data for Atmospheric Chemistry: Supplement VIII###Halogen Species IUPAC Subcommittee on Gas Kinetic Data Evaluation for Atmospheric Chemistry, J. Phys. Chem. Ref. Data,29, 167-266,2000, Br + Cl2O --> BrCl+ClO
Br,10774, reactive,HIR, V, RC, Br,0, Cl2O2,0,, BrCl;ClOO, K, cm3/s, 2000V302, Atkinson### R.$Baulch### D.L.$Cox### R.A.$Hampson###Jr.### R.F.$Kerr### J.A.$Rossi### M.J.$Troe### J., Evaluated Kinetic and Photochemical Data for Atmospheric Chemistry: Supplement VIII###Halogen Species IUPAC Subcommittee on Gas Kinetic Data Evaluation for Atmospheric Chemistry, J. Phys. Chem. Ref. Data,29, 167-266,2000, Br + Cl2O2 --> BrCl+ClOO
Br,10778, reactive,HIR, V, RC, Br,0, NO3,0,, BrO;NO2, K, cm3/s, 2000V302, Atkinson### R.$Baulch### D.L.$Cox### R.A.$Hampson###Jr.### R.F.$Kerr### J.A.$Rossi### M.J.$Troe### J., Evaluated Kinetic and Photochemical Data for Atmospheric Chemistry: Supplement VIII###Halogen Species IUPAC Subcommittee on Gas Kinetic Data Evaluation for Atmospheric Chemistry, J. Phys. Chem. Ref. Data,29, 167-266,2000, Br + NO3 --> BrO+NO2
Cl,10742, reactive,HIR, V, RC, Cl,0, H2,0,, HCl;H, K, cm3/s, 2000V302, Atkinson### R.$Baulch### D.L.$Cox### R.A.$Hampson###Jr.### R.F.$Kerr### J.A.$Rossi### M.J.$Troe### J., Evaluated Kinetic and Photochemical Data for Atmospheric Chemistry: Supplement VIII###Halogen Species IUPAC Subcommittee on Gas Kinetic Data Evaluation for Atmospheric Chemistry, J. Phys. Chem. Ref. Data,29, 167-266,2000, Cl + H2 --> HCl+H
Cl,10743, reactive,HIR, V, RC, Cl,0, HO2,0,, HCl;O2, K, cm3/s, 2000V302, Atkinson### R.$Baulch### D.L.$Cox### R.A.$Hampson###Jr.### R.F.$Kerr### J.A.$Rossi### M.J.$Troe### J., Evaluated Kinetic and Photochemical Data for Atmospheric Chemistry: Supplement VIII###Halogen Species IUPAC Subcommittee on Gas Kinetic Data Evaluation for Atmospheric Chemistry, J. Phys. Chem. Ref. Data,29, 167-266,2000, Cl + HO2 --> HCl+O2
Cl,10744, reactive,HIR, V, RC, Cl,0, HO2,0,, ClO;HO, K, cm3/s, 2000V302, Atkinson### R.$Baulch### D.L.$Cox### R.A.$Hampson###Jr.### R.F.$Kerr### J.A.$Rossi### M.J.$Troe### J., Evaluated Kinetic and Photochemical Data for Atmospheric Chemistry: Supplement VIII###Halogen Species IUPAC Subcommittee on Gas Kinetic Data Evaluation for Atmospheric Chemistry, J. Phys. Chem. Ref. Data,29, 167-266,2000, Cl + HO2 --> ClO+HO
Cl,10745, reactive,HIR, V, RC, Cl,0, H2O2,0,, HCl;HO2, K, cm3/s, 2000V302, Atkinson### R.$Baulch### D.L.$Cox### R.A.$Hampson###Jr.### R.F.$Kerr### J.A.$Rossi### M.J.$Troe### J., Evaluated Kinetic and Photochemical Data for Atmospheric Chemistry: Supplement VIII###Halogen Species IUPAC Subcommittee on Gas Kinetic Data Evaluation for Atmospheric Chemistry, J. Phys. Chem. Ref. Data,29, 167-266,2000, Cl + H2O2 --> HCl+HO2
