X,Y
1.5,3.57
1.0,0.184
2.5,33.6
2.0,15.9
3.0,52.0
3.5,68.5
4.0,82.5
4.5,93.9
5.0,103.0
6.0,113.0
7.0,116.0
8.0,114.0
9.0,109.0
10.0,104.0
12.0,98.9
14.0,96.0
16.0,92.2
18.0,88.2
20.0,84.9
25.0,79.0
30.0,73.5
35.0,69.2
40.0,65.5
50.0,59.1
60.0,54.3
70.0,50.6
80.0,47.7
90.0,45.3
100.0,43.3
120.0,40.0
140.0,37.4
160.0,35.2
180.0,33.3
200.0,31.5
240.0,28.5
280.0,25.9
320.0,23.7
360.0,21.9
400.0,20.2
500.0,17.1
600.0,14.8
700.0,13.0
800.0,11.6
900.0,10.5
1000.0,9.55
