id_number,B201208781
categorize,Collision Processes
collision_data_categorize,Cross Section
collision_process,Excitation
sub_process,Quenching
collision_type,Heavy Particle Impact
Theory_Experiment_Recommendation,Experimental Data
reaction_formula,CH2Cl2 + C2(d3¦°g) -> CH2Cl2 + C2(X1¦²+g)
reference_number,2012000522
author,Hailing Wang### Zhiqiang Zhu### Shaohua Zhang### Linsen Pei### Yang Chen
title_of_record,Time-resolved kinetic studies on quenching of C2 (d3¡Çg) by alkanes and substituted methane molecules
journal_name,Chem. Phys. Lett.
volume_and_issue_No,407
page_number,217
date_of_publication,2005
