Ar15+ + H(1s) --> Ar14+(n=15,l=11) + H+
X = Energy (eV),Y = Cross section (cm2)
5.333320e+05,3.556600e-20
8.000000e+05,3.573100e-20
9.333200e+05,8.611000e-20
1.400000e+06,2.548700e-19
1.600000e+06,3.335400e-17
2.800000e+06,3.335400e-17
3.333320e+06,4.441800e-17
5.000000e+06,2.579700e-17
1.000000e+07,9.481700e-20
