Ar15+ + H(1s) --> Ar14+(n=15,l=3) + H+
X = Energy (eV),Y = Cross section (cm2)
5.333320e+05,5.173200e-20
8.000000e+05,2.402900e-19
9.333200e+05,4.285700e-19
1.400000e+06,1.054100e-18
1.600000e+06,9.244500e-19
2.800000e+06,9.244500e-19
3.333320e+06,6.658100e-18
5.000000e+06,4.950900e-18
1.000000e+07,4.899800e-19
