Ar15+ + H(1s) --> Ar14+(n=20,l=0) + H+
X = Energy (eV),Y = Cross section (cm2)
5.333320e+05,4.311000e-21
8.000000e+05,5.359600e-21
9.333200e+05,6.928400e-21
1.400000e+06,3.959100e-20
1.600000e+06,2.177500e-20
2.800000e+06,2.177500e-20
3.333320e+06,1.163100e-20
5.000000e+06,1.635500e-19
1.000000e+07,1.646500e-20
