Ar10+ + Ar --> Ar10+ + Ar4+
X = Energy (eV),Y = Cross section (cm2)
4.200000e+07,1.170000e-16
Ar10+ + Ar --> Ar9+ + Ar10+
X = Energy (eV),Y = Cross section (cm2)
4.200000e+07,1.300000e-18
