Ar15+ + H(1s) --> Ar14+(n=17,l=3) + H+
X = Energy (eV),Y = Cross section (cm2)
5.333320e+05,3.556600e-20
8.000000e+05,8.843400e-20
9.333200e+05,1.682600e-19
1.400000e+06,6.491300e-19
1.600000e+06,5.457000e-19
2.800000e+06,5.457000e-19
3.333320e+06,2.660300e-18
5.000000e+06,3.617500e-18
1.000000e+07,3.600600e-19
