id_number,B201218580
categorize,Collision Processes
collision_data_categorize,Cross Section
collision_process,Excitation
sub_process,Total
collision_type,Heavy Particle Impact
Theory_Experiment_Recommendation,Theoretical Data
reaction_formula,Si12+ + Ne
reference_number,2012001099
author,U. Tiwari### A. K. Saha### L. C. Tribedi### M. B. Kurup### P. N. Tandon### L. Gulyas
title_of_record,Saturation effect in the excitation of heliumlike Si projectiles in the intermediate velocity range
journal_name,Phys. Rev. A
volume_and_issue_No,58
page_number,4494
date_of_publication,1998
