X,Y
0.22,156
0.42,142
0.84,132
0.083,191
1.23,128
1.63,122
2.04,122
2.45,123
3.24,125
4.06,126
5.66,123
8.03,119
15.0,113
30.0,109
60.0,100
120,95
240,93
480,91
960,91
2000,88
4000,88
8000,88
