id_number,B201870003
categorize,Collision Processes
collision_data_categorize,Cross Section
collision_process,Attachment
sub_process,Attachement
collision_type,Heavy Particle Impact
Theory_Experiment_Recommendation,Theoretical Data
reaction_formula,K + Br2 -> K1+ + Br21-
reference_number,2018000329
author,C.W.A. Evers
title_of_record,Total cross sections for K + Br2 at relative energies between 0 and 8000 eV
journal_name,Chemical Physics
volume_and_issue_No,30
page_number,27
date_of_publication,1978
