id_number,B201219807
categorize,Collision Processes
collision_data_categorize,Cross Section
collision_process,Excitation
sub_process,Electronic
collision_type,Heavy Particle Impact
Theory_Experiment_Recommendation,Theoretical Data
reaction_formula,H+ + H(1s1) -> H+ + H(n'=4)
reference_number,2012001141
author,A. L. Ford### J. F. Reading### K. A. Hall
title_of_record,Single-centred calculations of excitation and electron removal in intermediate energy proton-hydrogen collisions
journal_name,J. Phys. B
volume_and_issue_No,26
page_number,4537
date_of_publication,1993
