id_number,B201208758
categorize,Collision Processes
collision_data_categorize,Cross Section
collision_process,Reaction
sub_process,Particle Interchange
collision_type,Heavy Particle Impact
Theory_Experiment_Recommendation,Theoretical Data
reaction_formula,H + HCN -> H2 + CN
reference_number,2012000521
author,Wan-Yong Ma ### Jian-Hua Zhou### Mao-You Yang### Yue-Feng Zhu
title_of_record,Time-dependent wave packet study for D + DCN reaction with SVRT model
journal_name,Chem. Phys. Lett.
volume_and_issue_No,413
page_number,201
date_of_publication,2005
