id_number,B201879348
categorize,Collision Processes
collision_data_categorize,Cross Section
collision_process,Ionization
sub_process,Total
collision_type,Photon Impact
Theory_Experiment_Recommendation,Experimental Data
reaction_formula,hv + Ti
reference_number,2018000563
author,K Prema Chand### D K S Reddy### V Radha Krishna Murty### J Rama Rao and V Lakshminarayana
title_of_record,Photoelectric cross sections of low-energy photons in light elements
journal_name,J. Phys. B: At. Mol. Opt. Phys.
volume_and_issue_No,9
page_number,177
date_of_publication,1976
