X,Y
0.120,3.749E+01
0.100,1.616E+01
0.900,1.051E+04
0.800,8.546E+03
0.750,7.593E+03
0.700,6.666E+03
0.600,4.909E+03
0.500,3.327E+03
0.480,3.036E+03
0.460,2.756E+03
0.440,2.486E+03
0.420,2.227E+03
0.400,1.980E+03
0.380,1.744E+03
0.340,1.312E+03
0.360,1.521E+03
0.140,7.184E+01
0.160,1.212E+02
0.180,1.868E+02
0.200,2.694E+02
0.220,3.691E+02
0.240,4.859E+02
0.260,6.196E+02
0.280,7.696E+02
0.300,9.353E+02
0.320,1.116E+03
1.900,2.934E+04
1.100,1.452E+04
1.800,2.769E+04
1.700,2.597E+04
1.600,2.420E+04
1.500,2.236E+04
1.400,2.046E+04
1.300,1.852E+04
1.200,1.653E+04
1.000,1.251E+04
2.900,4.238E+04
2.800,4.134E+04
2.700,4.024E+04
2.600,3.909E+04
2.500,3.788E+04
2.300,3.529E+04
2.400,3.661E+04
2.000,3.092E+04
2.200,3.390E+04
2.100,3.244E+04
3.700,4.908E+04
3.900,5.036E+04
3.800,4.974E+04
3.600,4.839E+04
3.500,4.766E+04
3.400,4.688E+04
3.300,4.607E+04
3.200,4.522E+04
3.100,4.432E+04
3.000,4.338E+04
4.000,5.096E+04
4.200,5.205E+04
4.400,5.302E+04
4.600,5.390E+04
4.800,5.468E+04
5.800,5.740E+04
5.600,5.699E+04
5.200,5.598E+04
5.000,5.537E+04
5.400,5.652E+04
6.000,5.776E+04
6.200,5.806E+04
6.400,5.832E+04
6.600,5.854E+04
6.800,5.871E+04
7.800,5.910E+04
7.600,5.908E+04
7.400,5.903E+04
7.200,5.896E+04
7.000,5.885E+04
8.000,5.910E+04
8.200,5.908E+04
8.400,5.903E+04
8.600,5.897E+04
8.800,5.889E+04
9.000,5.880E+04
9.200,5.869E+04
9.400,5.857E+04
9.600,5.843E+04
9.800,5.829E+04
10.000,5.813E+04
