Ar15+ + H(1s) --> Ar14+(n=18,l=8) + H+
X = Energy (eV),Y = Cross section (cm2)
5.333320e+05,3.664400e-20
8.000000e+05,8.932700e-20
9.333200e+05,1.860800e-19
1.400000e+06,8.990500e-19
1.600000e+06,7.402900e-18
2.800000e+06,7.402900e-18
3.333320e+06,1.102400e-17
5.000000e+06,1.210200e-17
1.000000e+07,1.639300e-18
