Ar15+ + H(1s) --> Ar14+(n=12,l=10) + H+
X = Energy (eV),Y = Cross section (cm2)
5.333320e+05,9.829100e-19
8.000000e+05,5.850900e-19
9.333200e+05,9.224700e-19
1.400000e+06,9.567000e-18
1.600000e+06,1.331800e-16
2.800000e+06,1.331800e-16
3.333320e+06,1.258000e-16
5.000000e+06,5.290900e-17
1.000000e+07,5.977600e-19
