Ar15+ + H(1s) --> Ar14+(n=15,l=2) + H+
X = Energy (eV),Y = Cross section (cm2)
5.333320e+05,3.987700e-20
8.000000e+05,1.527500e-19
9.333200e+05,2.781300e-19
1.400000e+06,6.590300e-19
1.600000e+06,5.945200e-19
2.800000e+06,5.945200e-19
3.333320e+06,5.434600e-18
5.000000e+06,3.291400e-18
1.000000e+07,3.171000e-19
