Ar15+ + H(1s) --> Ar14+(n=14,l=2) + H+
X = Energy (eV),Y = Cross section (cm2)
5.333320e+05,6.251000e-20
8.000000e+05,2.894200e-19
9.333200e+05,5.028100e-19
1.400000e+06,7.728500e-19
1.600000e+06,1.827800e-18
2.800000e+06,1.827800e-18
3.333320e+06,7.461900e-18
5.000000e+06,3.862800e-18
1.000000e+07,3.730200e-19
