Ar15+ + H(1s) --> Ar14+(n=19,l=2) + H+
X = Energy (eV),Y = Cross section (cm2)
5.333320e+05,2.586600e-20
8.000000e+05,2.947800e-20
9.333200e+05,7.225400e-20
1.400000e+06,2.523900e-19
1.600000e+06,1.768400e-19
2.800000e+06,1.768400e-19
3.333320e+06,1.106300e-18
5.000000e+06,1.808200e-18
1.000000e+07,1.761000e-19
