X,Y
50,0.38
55,0.49
60,0.60
65,0.73
70,0.88
75,1.04
80,1.21
85,1.40
90,1.60
95,1.81
100,2.03
150,5.00
160,5.90
170,7.00
180,8.20
190,9.30
200,10.50
210,11.60
220,12.75
230,13.45
240,14.20
250,14.75
260,15.30
270,15.75
280,16.10
290,17.00
300,17.80
310,18.65
320,19.80
330,20.80
340,21.75
