N6+ + H(n=2) --> N5+(n=7,l=4) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,2.520000e+01
7.000000e+01,2.400000e+01
9.800000e+01,1.930000e+01
1.400000e+02,1.260000e+01
3.500000e+02,1.910000e+00
6.300000e+02,4.920000e-01
1.260000e+03,6.550000e-02
1.400000e+03,3.830000e-02
2.100000e+03,6.340000e-03
3.500000e+03,7.160000e-04
7.000000e+03,1.410000e-05
