N6+ + H(n=2) --> N5+(n=11,l=7) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,8.340000e-01
7.000000e+01,1.610000e+00
9.800000e+01,2.690000e+00
1.400000e+02,3.520000e+00
3.500000e+02,2.540000e+00
6.300000e+02,7.290000e-01
1.260000e+03,1.980000e-02
1.400000e+03,1.120000e-02
2.100000e+03,8.190000e-04
3.500000e+03,4.770000e-05
7.000000e+03,5.400000e-08
