N6+ + H(n=2) --> N5+(n=10,l=1) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,5.080000e-01
7.000000e+01,5.330000e-01
9.800000e+01,6.220000e-01
1.400000e+02,6.430000e-01
3.500000e+02,2.870000e-01
6.300000e+02,1.090000e-01
1.260000e+03,2.850000e-02
1.400000e+03,2.260000e-02
2.100000e+03,5.970000e-03
3.500000e+03,4.580000e-04
7.000000e+03,1.470000e-05
