N6+ + H(1s) --> N5+(n=11,l=6) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,3.800000e-03
7.000000e+01,1.290000e-03
9.800000e+01,1.380000e-03
1.400000e+02,2.290000e-03
3.500000e+02,1.690000e-02
6.300000e+02,9.470000e-02
1.260000e+03,4.050000e-02
1.400000e+03,3.100000e-02
2.100000e+03,4.450000e-03
3.500000e+03,3.730000e-04
7.000000e+03,4.820000e-07
