N6+ + H(n=2) --> N5+(n=10,l=0) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,2.260000e-01
7.000000e+01,1.730000e-01
9.800000e+01,2.480000e-01
1.400000e+02,2.870000e-01
3.500000e+02,1.080000e-01
6.300000e+02,2.680000e-02
1.260000e+03,6.080000e-03
1.400000e+03,4.540000e-03
2.100000e+03,1.220000e-03
3.500000e+03,8.370000e-05
7.000000e+03,2.510000e-06
