N6+ + H(n=2) --> N5+(n=11,l=10) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,9.150000e-01
7.000000e+01,2.830000e+00
9.800000e+01,5.170000e+00
1.400000e+02,6.710000e+00
3.500000e+02,7.360000e-01
6.300000e+02,6.180000e-02
1.260000e+03,2.460000e-03
1.400000e+03,7.170000e-04
2.100000e+03,4.080000e-04
3.500000e+03,1.720000e-06
7.000000e+03,3.640000e-07
