N6+ + H(n=2) --> N5+(n=10,l=8) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,5.570000e+00
7.000000e+01,7.880000e+00
9.800000e+01,8.950000e+00
1.400000e+02,1.040000e+01
3.500000e+02,3.150000e+00
6.300000e+02,4.120000e-01
1.260000e+03,6.910000e-03
1.400000e+03,3.770000e-03
2.100000e+03,3.010000e-04
3.500000e+03,4.000000e-06
7.000000e+03,8.580000e-09
