N6+ + H(1s) --> N5+(n=11,l=2) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,1.510000e-02
7.000000e+01,7.090000e-04
9.800000e+01,2.490000e-03
1.400000e+02,2.670000e-03
3.500000e+02,4.610000e-02
6.300000e+02,1.590000e-01
1.260000e+03,9.170000e-02
1.400000e+03,1.200000e-01
2.100000e+03,3.970000e-02
3.500000e+03,3.310000e-03
7.000000e+03,1.100000e-04
