N6+ + H(n=2) --> N5+(n=10,l=4) + H+
X = Energy (eV),Y = Cross section (cm2)
1.400000e+01,1.270000e+00
7.000000e+01,2.570000e+00
9.800000e+01,3.400000e+00
1.400000e+02,3.520000e+00
3.500000e+02,1.130000e+00
6.300000e+02,4.350000e-01
1.260000e+03,7.070000e-02
1.400000e+03,4.990000e-02
2.100000e+03,9.910000e-03
3.500000e+03,8.170000e-04
7.000000e+03,1.400000e-05
