specie,id_number,categorize,collision_data_categorize,collision_type,collision_process,sub_process,Process,QDB Process,Original X Unit,Original Y Unit,Theory_Experiment_Recommendation,reaction_formula,reference_number,author,title_of_record,journal_name,volume_and_issue_No,page_number,date_of_publication
Al,B201867995,Collision Processes,Cross Section,Heavy Particle Impact,Ionization,Sub Shell,Ionization; Sub Shell,HIN, eV, cm2,Recommended Data,H1+ + Al -> H1+ + Al1+(K-shell),2018000244,R. K. GARDNER and TOM J. GRAY,CROSS SECTIONS FOR K-SHELL IONIZATION### X-RAY PRODUCTION### OR AUGER-ELECTRON PRODUCTION BY ION IMPACT*,Atomic Data and Nuclear Data Tables,21,515,1978
Al,B201867996,Collision Processes,Cross Section,Heavy Particle Impact,Ionization,Sub Shell,Ionization; Sub Shell,HIN, eV, cm2,Recommended Data,D1+ + Al -> D1+ + Al1+(K-shell),2018000244,R. K. GARDNER and TOM J. GRAY,CROSS SECTIONS FOR K-SHELL IONIZATION### X-RAY PRODUCTION### OR AUGER-ELECTRON PRODUCTION BY ION IMPACT*,Atomic Data and Nuclear Data Tables,21,515,1978
Al,B201867997,Collision Processes,Cross Section,Heavy Particle Impact,Ionization,Sub Shell,Ionization; Sub Shell,HIN, eV, cm2,Recommended Data,3Heq+ + Al -> 3Heq+ + Al1+(K-shell),2018000244,R. K. GARDNER and TOM J. GRAY,CROSS SECTIONS FOR K-SHELL IONIZATION### X-RAY PRODUCTION### OR AUGER-ELECTRON PRODUCTION BY ION IMPACT*,Atomic Data and Nuclear Data Tables,21,515,1978
Al,B201867998,Collision Processes,Cross Section,Heavy Particle Impact,Ionization,Sub Shell,Ionization; Sub Shell,HIN, eV, cm2,Recommended Data,Heq+ + Al -> Heq+ + Al1+(K-shell),2018000244,R. K. GARDNER and TOM J. GRAY,CROSS SECTIONS FOR K-SHELL IONIZATION### X-RAY PRODUCTION### OR AUGER-ELECTRON PRODUCTION BY ION IMPACT*,Atomic Data and Nuclear Data Tables,21,515,1978
Al,B201867999,Collision Processes,Cross Section,Heavy Particle Impact,Ionization,Sub Shell,Ionization; Sub Shell,HIN, eV, cm2,Recommended Data,Liq+ + Al -> Liq+ + Al1+(K-shell),2018000244,R. K. GARDNER and TOM J. GRAY,CROSS SECTIONS FOR K-SHELL IONIZATION### X-RAY PRODUCTION### OR AUGER-ELECTRON PRODUCTION BY ION IMPACT*,Atomic Data and Nuclear Data Tables,21,515,1978
Al,B201878831,Collision Processes,Rate Coefficient,Photon Impact,Ionization,Single,Ionization; Single,, K, cm3/s,Theoretical Data,hv + Al1+ -> Al,2018000542,D. A.VERNER### G. J. FERLAND### AND K. T. KORISTA AND D. G. YAKOVLEV,ATOMIC DATA FOR ASTROPHYSICS. II. NEW ANALYTIC FITS FOR PHOTOIONIZATION CROSS SECTIONS OF ATOMS AND IONS,THE ASTROPHYSICAL JOURNAL,465,487,1996
Al,B201878832,Collision Processes,Rate Coefficient,Photon Impact,Ionization,Single,Ionization; Single,, K, cm3/s,Theoretical Data,hv + Al2+ -> Al1+,2018000542,D. A.VERNER### G. J. FERLAND### AND K. T. KORISTA AND D. G. YAKOVLEV,ATOMIC DATA FOR ASTROPHYSICS. II. NEW ANALYTIC FITS FOR PHOTOIONIZATION CROSS SECTIONS OF ATOMS AND IONS,THE ASTROPHYSICAL JOURNAL,465,487,1996
Al,B201878833,Collision Processes,Rate Coefficient,Photon Impact,Ionization,Single,Ionization; Single,, K, cm3/s,Theoretical Data,hv + Al3+ -> Al2+,2018000542,D. A.VERNER### G. J. FERLAND### AND K. T. KORISTA AND D. G. YAKOVLEV,ATOMIC DATA FOR ASTROPHYSICS. II. NEW ANALYTIC FITS FOR PHOTOIONIZATION CROSS SECTIONS OF ATOMS AND IONS,THE ASTROPHYSICAL JOURNAL,465,487,1996
Al,B201878834,Collision Processes,Rate Coefficient,Photon Impact,Ionization,Single,Ionization; Single,, K, cm3/s,Theoretical Data,hv + Al4+ -> Al3+,2018000542,D. A.VERNER### G. J. FERLAND### AND K. T. KORISTA AND D. G. YAKOVLEV,ATOMIC DATA FOR ASTROPHYSICS. II. NEW ANALYTIC FITS FOR PHOTOIONIZATION CROSS SECTIONS OF ATOMS AND IONS,THE ASTROPHYSICAL JOURNAL,465,487,1996
Al,B201878835,Collision Processes,Rate Coefficient,Photon Impact,Ionization,Single,Ionization; Single,, K, cm3/s,Theoretical Data,hv + Al5+ -> Al4+,2018000542,D. A.VERNER### G. J. FERLAND### AND K. T. KORISTA AND D. G. YAKOVLEV,ATOMIC DATA FOR ASTROPHYSICS. II. NEW ANALYTIC FITS FOR PHOTOIONIZATION CROSS SECTIONS OF ATOMS AND IONS,THE ASTROPHYSICAL JOURNAL,465,487,1996
Al,B201878836,Collision Processes,Rate Coefficient,Photon Impact,Ionization,Single,Ionization; Single,, K, cm3/s,Theoretical Data,hv + Al6+ -> Al5+,2018000542,D. A.VERNER### G. J. FERLAND### AND K. T. KORISTA AND D. G. YAKOVLEV,ATOMIC DATA FOR ASTROPHYSICS. II. NEW ANALYTIC FITS FOR PHOTOIONIZATION CROSS SECTIONS OF ATOMS AND IONS,THE ASTROPHYSICAL JOURNAL,465,487,1996
Al,B201878837,Collision Processes,Rate Coefficient,Photon Impact,Ionization,Single,Ionization; Single,, K, cm3/s,Theoretical Data,hv + Al7+ -> Al6+,2018000542,D. A.VERNER### G. J. FERLAND### AND K. T. KORISTA AND D. G. YAKOVLEV,ATOMIC DATA FOR ASTROPHYSICS. II. NEW ANALYTIC FITS FOR PHOTOIONIZATION CROSS SECTIONS OF ATOMS AND IONS,THE ASTROPHYSICAL JOURNAL,465,487,1996
Al,B201878838,Collision Processes,Rate Coefficient,Photon Impact,Ionization,Single,Ionization; Single,, K, cm3/s,Theoretical Data,hv + Al8+ -> Al7+,2018000542,D. A.VERNER### G. J. FERLAND### AND K. T. KORISTA AND D. G. YAKOVLEV,ATOMIC DATA FOR ASTROPHYSICS. II. NEW ANALYTIC FITS FOR PHOTOIONIZATION CROSS SECTIONS OF ATOMS AND IONS,THE ASTROPHYSICAL JOURNAL,465,487,1996
