X,Y
0.001072,1630000
0.8,14.2
0.6,17.4
0.5,20.4
0.4,25.4
0.3,36.9
0.2,76.4
0.15,145
0.1,404
0.08,732
0.06,1590
0.05,2580
0.04,4630
0.03317,1380
0.03,1780
0.015,11400
0.01,33800
0.008,61000
0.006,129000
0.005188,161000
0.005,173000
0.004852,141000
0.004557,54400
0.004,75600
0.003,155000
0.002,412000
0.0015,818000
0.001,1900000
0.02,5270
1.5,9.75
1,12.2
2,8.64
3,7.78
4,7.57
5,7.57
6,7.67
8,7.97
10,8.32
15,9.23
20,10.0
30,11.3
40,12.2
50,12.9
60,13.4
80,14.2
100,14.8
