id_number,B201208464
categorize,Collision Processes
collision_data_categorize,Cross Section
collision_process,Excitation
sub_process,Electronic
collision_type,Heavy Particle Impact
Theory_Experiment_Recommendation,Theoretical Data
reaction_formula,H + H -> H(2p1) + H
reference_number,2012000505
author,Merle E Riley### A Burke Ritchie
title_of_record,Excitation and ionization in H(1s)¨CH(1s) collisions: II.Inclusion of electron exchange
journal_name,J. Phys. B
volume_and_issue_No,33
page_number,5177
date_of_publication,2000
