X,Y
0.0015,25100
0.8,1.64
0.6,1.87
0.5,2.02
0.4,2.22
0.3,2.48
0.2,2.86
0.15,3.14
0.1,3.55
0.08,3.81
0.06,4.22
0.05,4.59
0.03,7.06
0.02,14.0
0.015,27.9
0.01,86.6
0.008,168
0.006,420
0.005,730
0.004,1430
0.003,3380
0.002,11000
0.001,76600
0.04,5.30
1,1.48
1.5,1.20
2,1.03
3,0.830
4,0.715
5,0.639
6,0.584
8,0.513
10,0.470
15,0.414
20,0.388
30,0.369
40,0.363
50,0.364
60,0.364
80,0.371
100,0.377
