id_number,B201216892
categorize,Collision Processes
collision_data_categorize,Cross Section
collision_process,Excitation
sub_process,de-Excitation
collision_type,Heavy Particle Impact
Theory_Experiment_Recommendation,Experimental Data
reaction_formula,Kr(1P1) + C2H4 -> Kr + C2H4
reference_number,2012000656
author,Hironobu Fukuzawa### Makoto Murata### Naoharu Kiyoto### Tomonori Mukai### Yuji Fukuchi### Deba Bahadur Khadka
title_of_record,Collisional deexcitation of the excited rare gas atoms in resonant states:
The Watanabe¨CKatsuura theory revisited
journal_name,J. Chem. Phys.
volume_and_issue_No,118
page_number,70
date_of_publication,2003
